name,address,,,,,,country,state,city,star_count,rating_count,zip
Asian Cinemas Mcube Mall,"1st Floor, म्चुबे मॉल, Inner Ring Rd, near Pillar Number 118, Somi Reddy Nagar, Hyderabad, Telangana 500064, India",,,,,,India,Telangana,Hyderabad,4.1,17609,500064
VR Movie Theatre | Cymax I GVK,"Gvk One Mall, Rd Number 1, Balapur Basthi, Banjara Hills, Hyderabad, Telangana 500034, India",,,,,,India,Telangana,Hyderabad,4.8,1028,500034
Prasads Multiplex,"IMAX Road, NTR Marg, behind of, Khairtabad, Hyderabad, Telangana 500063, India",,,,,,India,Telangana,Hyderabad,4.3,119438,500063
Asian Radhika Multiplex,"Dr. AS Rao Nagar Rd, ECIL, Kapra, Secunderabad, Telangana 500062, India",,,,,,India,Telangana,Hyderabad,4.1,31911,500062
MAGNUM - Premium home theatre,"Ground floor, pavan mohan arcade, apartments, opposite Fort View, Madhavi Nagar, Hyderabad Shah Guda, Hyderabad, Bandlaguda Jagir, Telangana 500091, India",,,,,,India,Telangana,Hyderabad,4.9,40,500091
Open Air Theatre,"CC86+34J, Filmnagar Club, Film Nagar, Hyderabad, Telangana 500096, India",,,,,,India,Telangana,Hyderabad,4.4,36,500096
GPR Multiplex,"SBR Pride, Kukatpally, Nizampet Rd, Jai Bharat Nagar, Nagarjuna Homes, Kukatpally, Hyderabad, Telangana 500072, India",,,,,,India,Telangana,Hyderabad,4,29677,500072
Asian Laxmikala Shashikala Cinepride,"Bus Stop, Street Number 4, near Moosapet, SP Nagar, Bharat Nagar, Moosapet, Hyderabad, Telangana 500018, India",,,,,,India,Telangana,Hyderabad,3.6,47184,500018
SHIVA Theatre (private),"CCGF+J9V, Park View Enclave, Jubilee Hills, Hyderabad, Telangana 500033, India",,,,,,India,Telangana,Hyderabad,4.4,5,500033
Rudragiri Cinema,"Anand Nagar, Bandlaguda, Nagole, Hyderabad, Telangana 500068, India",,,,,,India,Telangana,Hyderabad,0,0,500068
